City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,32.02,93,100,17.27,GL,1697224348
1,edinburgh of the seven seas,-37.0676,-12.3116,59.31,95,100,29.1,SH,1697224332
2,port mathurin,-19.6833,63.4167,72.66,72,24,12.48,MU,1697224330
3,almeirim,-1.5233,-52.5817,98.85,32,82,6.06,BR,1697224299
4,luwuk,-0.9516,122.7875,75.54,79,39,4.25,ID,1697224554
5,saudarkrokur,65.7461,-19.6394,29.35,86,100,14.2,IS,1697224555
6,polyarnyy,69.1989,33.4478,34.57,79,18,6.4,RU,1697224375
7,ponta delgada,37.7333,-25.6667,72.32,78,40,18.41,PT,1697224555
8,enewetak,11.3474,162.3373,82.44,75,72,5.53,MH,1697224361
9,port-aux-francais,-49.35,70.2167,36.21,96,87,23.24,TF,1697224311
10,bandarbeyla,9.4942,50.8122,79.88,86,12,6.22,SO,1697224556
11,sandnessjoen,66.0217,12.6316,44.71,61,0,10.36,NO,1697224413
12,sansanne-mango,10.3592,0.4708,85.55,61,92,2.8,TG,1697224557
13,talnakh,69.4865,88.3972,27.05,97,93,5.82,RU,1697224333
14,margate,51.3813,1.3862,63.9,83,99,4.0,GB,1697224557
15,darzab,35.9774,65.3783,44.13,66,0,4.0,AF,1697224558
16,kapuskasing,49.4169,-82.4331,50.09,81,100,11.5,CA,1697224558
17,west island,-12.1568,96.8225,78.78,78,100,14.97,CC,1697224325
18,weyburn,49.6668,-103.8511,46.62,61,100,11.5,CA,1697224558
19,puerto natales,-51.7236,-72.4875,54.05,47,20,19.57,CL,1697224317
20,adamstown,-25.066,-130.1015,69.3,76,100,13.2,PN,1697224318
21,soure,-0.7167,-48.5233,85.96,65,9,14.05,BR,1697224559
22,fukuecho,32.6881,128.8419,70.56,61,100,9.66,JP,1697224559
23,hawaiian paradise park,19.5933,-154.9731,81.88,77,0,4.61,US,1697224354
24,horta,38.5333,-28.6333,64.04,94,75,15.01,PT,1697224542
25,jepelacio,-6.1167,-76.95,74.26,83,94,1.72,PE,1697224560
26,jamestown,42.097,-79.2353,60.53,55,40,4.61,US,1697224069
27,afaahiti,-17.75,-149.2833,80.47,78,47,14.63,PF,1697224349
28,arraial do cabo,-22.9661,-42.0278,73.36,94,75,17.27,BR,1697224561
29,punta arenas,-53.15,-70.9167,51.91,50,0,37.98,CL,1697224333
30,bedi,22.5,70.05,82.96,73,31,10.04,IN,1697224562
31,papatowai,-46.5619,169.4708,48.83,79,19,5.26,NZ,1697224352
32,pisco,-13.7,-76.2167,73.45,64,0,11.5,PE,1697224563
33,remire-montjoly,4.9167,-52.2667,91.44,58,0,13.8,GF,1697224390
34,waitangi,-43.9535,-176.5597,56.82,85,5,8.99,NZ,1697224313
35,karratha,-20.7377,116.8463,80.42,32,0,9.17,AU,1697224358
36,rujiena,57.8975,25.3316,47.05,76,100,11.68,LV,1697224564
37,kruisfontein,-34.0033,24.7314,54.82,93,75,2.44,ZA,1697224565
38,agat village,13.3886,144.6585,79.74,91,20,0.0,GU,1697224565
39,albany,42.6001,-73.9662,62.82,53,10,4.0,US,1697223907
40,tazovsky,67.4667,78.7,31.96,97,100,17.02,RU,1697224367
